trip_headsign,freq
JD. DA SAÚDE,1
VL. MORAES,1
SHOP. IBIRAPUERA,1
SHOP. PLAZA SUL,1
JD. NOVA VITÓRIA,1
JD. MARIA ESTELA II,1
JD. ESTER,1
TERM. NORTE METRÔ CARRÃO,1
SETOR IIB,1
MACHADO DE ASSIS,1
CARDOSO DE ALMEIDA,1
METRÔ VL. PRUDENTE,1
JD. REDIL,1
JD. SOARES,1
CONJ. MANOEL DA NÓBREGA,1
CHÁCARA KLABIN,1
